MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
1/27/2022 19:44:10,1.11.0,FR1,12,4.21,1,1,Left,Left,1,0,0,0,nan,nan,0.51
1/27/2022 19:45:47,1.11.0,FR1,12,4.21,1,1,Pellet,Left,1,0,1,0,Timed_out,nan,nan
1/27/2022 19:47:03,1.11.0,FR1,12,4.21,1,1,Left,Left,2,0,1,0,nan,nan,0.00
1/27/2022 19:47:07,1.11.0,FR1,12,4.20,1,1,Pellet,Left,2,0,2,0,2.65,80,nan
1/27/2022 19:50:39,1.11.0,FR1,12,4.21,1,1,Left,Left,3,0,2,0,nan,nan,0.03
1/27/2022 19:50:48,1.11.0,FR1,12,4.21,2,1,Pellet,Left,3,0,3,0,5.76,221,nan
1/27/2022 19:52:45,1.11.0,FR1,12,4.20,1,1,Right,Left,3,1,3,0,nan,nan,0.23
1/27/2022 19:55:45,1.11.0,FR1,12,4.21,1,1,Left,Left,4,1,3,0,nan,nan,0.37
1/27/2022 19:55:48,1.11.0,FR1,12,4.21,1,1,Pellet,Left,4,1,4,0,2.08,299,nan
1/27/2022 19:56:50,1.11.0,FR1,12,4.20,1,1,Left,Left,5,1,4,0,nan,nan,0.14
1/27/2022 19:56:52,1.11.0,FR1,12,4.20,1,1,Pellet,Left,5,1,5,0,1.39,65,nan
1/27/2022 19:57:53,1.11.0,FR1,12,4.20,1,1,Left,Left,6,1,5,0,nan,nan,0.18
1/27/2022 19:57:58,1.11.0,FR1,12,4.20,1,1,Pellet,Left,6,1,6,0,4.24,66,nan
1/27/2022 19:58:44,1.11.0,FR1,12,4.20,1,1,Right,Left,6,2,6,0,nan,nan,0.40
1/27/2022 20:02:04,1.11.0,FR1,12,4.20,1,1,Left,Left,7,2,6,0,nan,nan,0.05
1/27/2022 20:02:07,1.11.0,FR1,12,4.21,1,1,Pellet,Left,7,2,7,0,2.21,249,nan
1/27/2022 20:04:43,1.11.0,FR1,12,4.20,1,1,Left,Left,8,2,7,0,nan,nan,0.03
1/27/2022 20:04:48,1.11.0,FR1,12,4.20,1,1,Pellet,Left,8,2,8,0,4.24,161,nan
1/27/2022 20:06:46,1.11.0,FR1,12,4.21,1,1,Right,Left,8,3,8,0,nan,nan,0.18
1/27/2022 21:19:51,1.11.0,FR1,12,4.20,1,1,Right,Left,8,4,8,0,nan,nan,0.02
1/27/2022 21:43:56,1.11.0,FR1,12,4.20,1,1,Right,Left,8,5,8,0,nan,nan,0.46
