MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2/7/2022 19:31:12,1.11.0,Menu,55,4.12,1,1,Left,Left,1,0,0,0,nan,nan,0.29
2/7/2022 19:33:24,1.11.0,Menu,55,4.13,10,1,Pellet,Left,1,0,1,0,Timed_out,nan,nan
2/7/2022 19:34:54,1.11.0,Menu,55,4.13,1,1,Left,Left,2,0,1,0,nan,nan,0.00
2/7/2022 19:35:09,1.11.0,Menu,55,4.13,2,1,Pellet,Left,2,0,2,0,14.08,105,nan
2/7/2022 19:36:11,1.11.0,Menu,55,4.13,1,1,Left,Left,3,0,2,0,nan,nan,0.00
2/7/2022 19:36:17,1.11.0,Menu,55,4.14,2,1,Pellet,Left,3,0,3,0,4.43,68,nan
2/7/2022 19:36:28,1.11.0,Menu,55,4.13,1,1,Left,Left,4,0,3,0,nan,nan,0.10
2/7/2022 19:36:29,1.11.0,Menu,55,4.12,1,1,Pellet,Left,4,0,4,0,0.37,12,nan
2/7/2022 19:38:02,1.11.0,Menu,55,4.13,1,1,Left,Left,5,0,4,0,nan,nan,0.02
2/7/2022 19:38:18,1.11.0,Menu,55,4.13,3,1,Pellet,Left,5,0,5,0,11.04,109,nan
2/7/2022 19:40:50,1.11.0,Menu,55,4.13,1,1,Left,Right,6,0,5,0,nan,nan,0.07
2/7/2022 19:40:51,1.11.0,Menu,55,4.13,1,1,Left,Right,7,0,5,0,nan,nan,0.00
2/7/2022 19:40:55,1.11.0,Menu,55,4.13,1,1,Left,Right,8,0,5,0,nan,nan,0.16
2/7/2022 19:41:28,1.11.0,Menu,55,4.13,1,1,Left,Right,9,0,5,0,nan,nan,0.05
2/7/2022 19:41:39,1.11.0,Menu,55,4.14,1,1,Left,Right,10,0,5,0,nan,nan,0.00
2/7/2022 19:42:56,1.11.0,Menu,55,4.13,1,1,Right,Right,10,1,5,0,nan,nan,0.13
2/7/2022 19:43:01,1.11.0,Menu,55,4.12,1,1,Pellet,Right,10,1,6,0,3.54,282,nan
2/7/2022 19:43:15,1.11.0,Menu,55,4.13,1,1,Left,Right,11,1,6,0,nan,nan,0.07
2/7/2022 19:43:19,1.11.0,Menu,55,4.13,1,1,Left,Right,12,1,6,0,nan,nan,0.08
2/7/2022 19:44:19,1.11.0,Menu,55,4.12,1,1,Left,Right,13,1,6,0,nan,nan,0.02
2/7/2022 19:44:23,1.11.0,Menu,55,4.13,1,1,Left,Right,14,1,6,0,nan,nan,0.08
2/7/2022 19:44:29,1.11.0,Menu,55,4.13,1,1,Left,Right,15,1,6,0,nan,nan,0.10
2/7/2022 19:44:31,1.11.0,Menu,55,4.13,1,1,Left,Right,16,1,6,0,nan,nan,0.10
2/7/2022 19:44:35,1.11.0,Menu,55,4.13,1,1,Left,Right,17,1,6,0,nan,nan,0.09
2/7/2022 19:44:46,1.11.0,Menu,55,4.13,1,1,Right,Right,17,2,6,0,nan,nan,0.00
2/7/2022 19:44:50,1.11.0,Menu,55,4.13,1,1,Pellet,Right,17,2,7,0,3.48,110,nan
2/7/2022 19:47:10,1.11.0,Menu,55,4.12,1,1,Left,Right,18,2,7,0,nan,nan,0.00
2/7/2022 19:47:16,1.11.0,Menu,55,4.13,1,1,Left,Right,19,2,7,0,nan,nan,0.02
2/7/2022 19:52:48,1.11.0,Menu,55,4.13,1,1,Left,Right,20,2,7,0,nan,nan,0.06
2/7/2022 19:52:50,1.11.0,Menu,55,4.13,1,1,Left,Right,21,2,7,0,nan,nan,0.07
2/7/2022 19:52:51,1.11.0,Menu,55,4.13,1,1,Left,Right,22,2,7,0,nan,nan,0.00
2/7/2022 19:52:58,1.11.0,Menu,55,4.13,1,1,Left,Right,23,2,7,0,nan,nan,0.10
